Sample_name,MSE,Order
N4-10-5-01042024-Q=49.81mL_phút-3.txt,0.8746345704887359,"(2, 1, 3)"
N4-10-5-27032024-Q=50.45mL_phút-1.txt,2.5420276788012806,"(1, 1, 3)"
N4-10-5-29032024-Q=50.81mL_phút-2.txt,0.8365000711816353,"(5, 1, 1)"
N4-15-10-01042024-Q=49.88mL-phút-2.txt,3.0143929943073364,"(1, 1, 3)"
N4-15-10-27032024-Q=49.66mL_phút-1.txt,1.0069902494544414,"(1, 1, 3)"
N4-5-0-01042024-Q=49.99mL_phút-2.txt,0.4588125937253933,"(3, 1, 2)"
N4-5-0-29032024-Q=50.19mL_phút-1.txt,1.2543031649666256,"(4, 0, 0)"
U1-10-5-02042024-Q=49.74mL_phút-4.txt,1.531889205615342,"(2, 0, 5)"
U1-10-5-03042024-Q=50.41mL_phút-5.txt,2.608470379824959,"(4, 1, 4)"
U1-12.5-7.5-04042024-Q=49.9mL_phút-1.txt,8.485578875114065,"(4, 1, 2)"
U1-12.5-7.5-08042024-Q=50mL_phút-2.txt,27.816765117782403,"(2, 1, 2)"
U1-15-10-02042024-Q=49.81mL-phút-3.txt,2.5743084205567897,"(2, 1, 3)"
U1-15-10-03042024-Q=50.76mL-phút-4.txt,3.3259322633583905,"(2, 0, 1)"
U1-17.5-12.5-05042024-Q=49.88mL_phút-1.txt,3.0660821124767397,"(2, 1, 4)"
U1-17.5-12.5-08042024-Q=50.04mL_phút-2.txt,7.382359943120202,"(5, 1, 2)"
U1-2.5-0-04042024-Q=49.96mL_phút-1.txt,1.5941108688291603,"(2, 1, 0)"
U1-2.5-0-05042024-Q=49.63mL_phút-2.txt,5.094728958406023,"(2, 1, 3)"
U1-2.5-0-08042024-Q=49.85mL_phút-3.txt,0.554755078278042,"(2, 0, 5)"
U1-20-15-02042024-Q=49.83mL-phút-1.txt,9.91752434273987,"(2, 1, 5)"
U1-20-15-03042024-Q=50.46mL-phút-2.txt,10.50532372632027,"(1, 1, 3)"
U1-5-0-02042024-Q=50.01mL_phút-3.txt,0.45022522100329604,"(3, 1, 2)"
U1-5-0-03042024-Q=50.30mL_phút-4.txt,6.617871273663323,"(4, 1, 2)"
U1-7.5-2.5-04042024-Q=49.93mL_phút-1.txt,2.370553559129083,"(2, 1, 1)"
U1-7.5-2.5-05042024-Q=49.84mL_phút-2.txt,7.048302715822774,"(2, 1, 2)"
U1-7.5-2.5-08042024-Q=49.62mL_phút-3.txt,1.5071714636932687,"(5, 0, 4)"
U1-VS2-20-10-23042024-Q=49.43mL_phút-3.txt,20.613603610988452,"(2, 0, 3)"
U10-10-0-29042024-Q50.18mLmin-3.txt,1.490692367647468,"(4, 0, 4)"
U10-10-2.5-30042024-Q52.11mLmin-1.txt,0.7669484504968783,"(5, 0, 0)"
"U10-17,5-10-29042024-Q50.18mLmin-1.txt",3.075538738542132,"(3, 1, 5)"
U10-17.5-10-30042024-Q52.11mLmin-2.txt,1.9102230447567974,"(4, 0, 0)"
U10-VS2-12.5-10-07052024-Q=49.84mL_phút-1.txt,12.705011310513303,"(5, 1, 1)"
U10-VS2-20-12.5-07052024-Q=51.44mL_phút-1.txt,72.6356372950004,"(5, 0, 3)"
U100-H3-VS2-15-7.5-03072024-Q=50.21mL-phút-5.txt,479.4080490184461,"(5, 1, 2)"
U100-H3-VS2-7.5-2.5-03072024-Q=50.66mL-phút-5.txt,272.16167138664315,"(5, 1, 2)"
U101-H1-VS2-20-0-04072024-Q=50.2mL-phút-5.txt,11.624169350613693,"(1, 1, 2)"
U103-H1-VS2-7.5-0-05072024-Q=50.34mL-phút-5.txt,0.7063488101168374,"(5, 1, 1)"
U11-VS1-10-2.5-02052024-Q=50.17mL_phút-3.txt,12.480658039406432,"(5, 1, 2)"
U11-VS1-12.5-5-02052024-Q=49.92mL_phút-1.txt,11.55963784012468,"(3, 0, 2)"
U12-VS2-20-12.5-08052024-Q=49.28mL_phút-2.txt,13.229409337364297,"(4, 0, 4)"
U13-VS2-20-12.5-08052024-Q=39.28mL_phút-3.txt,10.445320250861018,"(4, 1, 2)"
U15-VS2-17.5-7.5-09052024-Q=51.44mL_phút-3.txt,10.400183287936104,"(5, 0, 5)"
U16-VS2-12.5-10-09052024-Q=49.88mL_phút-1.txt,9.48588033491224,"(5, 1, 4)"
U165-H1-VS2-12.5-7.5-20082024-Q=49.44mL-phút-5.txt,55.023580624234306,"(4, 0, 4)"
U167-H1-VS2-15-7.5-21082024-Q=49.92mL-phút-5.txt,98.86278646838286,"(5, 0, 5)"
U173-H1-VS2-15-2.5-26082024-Q=49.84mL-phút-5.txt,23.818393713851847,"(4, 1, 5)"
U174-H3-VS2-2.5-0-26082024-Q=49.2mL-phút-5.txt,173.93320730099362,"(5, 1, 4)"
U175-H1-VS2-15-2.5-27082024-Q=49.78mL-phút-5.txt,418.6626640173688,"(5, 0, 1)"
U175-H1-VS2-17.5-2.5-27082024-Q=50.02mL-phút-7.txt,18.166129737363754,"(5, 0, 3)"
U175-H1-VS2-17.5-2.5-27082024-Q=50.2mL-phút-5.txt,12.152920744055237,"(5, 1, 1)"
U176-H3-VS2-15-5-27082024-Q=50.2mL-phút-6.txt,220.98836776387247,"(5, 0, 5)"
U176-H3-VS2-20-5-27082024-Q=49.74mL-phút-6.txt,480.73392485025647,"(5, 1, 4)"
U18-VS2-15-7.5-10052024-Q=49.38mL_phút-1.txt,14.365696458501251,"(5, 1, 1)"
U19-h1-VS2-12.5-10-12052024-Q=50.76mLphut-3.txt,6.200083096799624,"(1, 1, 2)"
U19-h1-VS2-15-7.5-12052024-Q=50.56mLphut-2.txt,4.435883285755733,"(5, 1, 2)"
U2-10-5-09042024-Q=49.78mL_phút-6.txt,3.485586402929265,"(2, 1, 2)"
U2-5-0-09042024-Q=49.76mL_phút-5.txt,0.5603785935734178,"(2, 1, 2)"
U20-h2-VS2-12.5-2.5-12052024-Q=40.23mLphut-2.txt,0.4274329112802026,"(1, 1, 3)"
U20-h2-VS2-15-7.5-12052024-Q=40.11mLphut-3.txt,2.9214501254056953,"(5, 1, 3)"
