,Tag,Doin (mV),No.peak,DOmin (mV),DDO (mV),Sheet Name,Sample Name
0,GGA2.5,299.96531,311,198.1,101.86531,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
1,GGA2.5,295.03673,785,196.79999,98.23673999999997,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
2,GGA2.5,293.74082,1257,195.4,98.34081999999998,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
3,GGA2.5,292.506,1730,190.4,102.10599999999997,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
4,GGA2.5,292.59592,2203,195.3,97.29591999999997,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
5,GGA2.5,292.12449,2676,189.5,102.62448999999998,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
6,GGA2.5-HH-5,293.96939,3152,213.2,80.76938999999999,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
7,GGA2.5-HH-5,294.38776,3624,212.1,82.28776000000002,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
8,GGA2.5-HH-5,294.226,4097,214.9,79.326,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
9,GGA2.5-HH-5,293.42041,4571,211.60001,81.8204,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
10,GGA2.5-HH-5,293.02653,5044,214.8,78.22652999999997,U183-H5-VS2-03.09.2024,"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1"
11,GGA5,316.35278,313,195.2,121.15278,U184-H5-VS2-03.09.2024,U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1
12,GGA5,312.52703,785,191.8,120.72703000000001,U184-H5-VS2-03.09.2024,U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1
13,GGA5,317.60541,1254,196.3,121.30541,U184-H5-VS2-03.09.2024,U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1
14,GGA5,318.61892,1728,193.7,124.91892000000001,U184-H5-VS2-03.09.2024,U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1
15,GGA5,313.03243,2203,194.00001,119.03241999999997,U184-H5-VS2-03.09.2024,U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1
16,GGA5,308.74865,2676,187.00001,121.74864,U184-H5-VS2-03.09.2024,U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1
