,Loại,Doin (mV),No.peak,DOmin (mV),DDO (mV),Tên sheet,Tên mẫu
0,BOD10,288.5761,301,283.82,4.75609,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
1,BOD10,288.665,769,283.73,4.935,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
2,BOD10,288.5954,1245,283.6,4.99541,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
3,BOD10,288.5774,1721,283.54,5.03739,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
4,BOD10,288.5435,2196,283.85,4.69348,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
5,BOD10,288.5604,2662,283.92,4.64044,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
6,Zn(II)-5mg/L,288.0804,3139,283.53,4.55041,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
7,Zn(II)-5mg/L,288.7675,3611,284.45,4.3175,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
8,Zn(II)-5mg/L,288.6283,4085,284.42,4.20833,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
9,Zn(II)-5mg/L,288.5563,4557,284.35,4.20625,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
10,Zn(II)-5mg/L,288.3813,5037,284.47,3.9113,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
11,Zn(II)-5mg/L,288.0722,5509,283.89,4.18217,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
12,Zn(II)-5mg/L,287.9239,5982,284.17,3.75391,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
13,Zn(II)-5mg/L,287.9087,6453,283.87,4.03874,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
14,Zn(II)-5mg/L,287.5467,6928,283.67,3.87666,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
15,Zn(II)-5mg/L,287.5863,7400,283.67,3.91625,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
16,Zn(II)-5mg/L,287.3521,7872,283.47,3.88208,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
17,Zn(II)-5mg/L,287.3317,8346,283.51,3.82166,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
18,Zn(II)-5mg/L,287.1861,8822,283.37,3.81609,U1-26.03.2024,U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2
19,BOD10,288.21458,301,283.07,5.144580000000019,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
20,BOD10,288.34666,775,283.23,5.116659999999968,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
21,BOD10,288.21959,1248,282.82,5.399589999999989,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
22,BOD10,288.3274,1720,283.41,4.9173999999999864,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
23,BOD10,288.32041,2194,283.45,4.870409999999993,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
24,BOD10,288.16565,2669,282.6,5.565650000000005,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
25,BOD10,288.09333,3141,282.85,5.243329999999958,U2-03.04.2024,U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1
