Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,0,BOD15,260.6018,301.0,256.62,3.98176,0
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,1,,260.3979,775.0,256.39001,4.00793,0
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,2,,260.1353,1247.0,256.41,3.72529,0
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,3,,260.2894,1722.0,256.22,4.06941,0
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,4,,260.1271,2194.0,256.29999,3.82707,0
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,5,,259.8459,2666.0,255.74001,4.10587,0
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,6,,259.4615,3140.0,255.50999,3.95148,0
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,7,BOD10,258.8894,3617.0,255.24001,3.6494,1
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,8,,258.4747,4090.0,255.14999,3.32471,1
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,9,,258.7024,4558.0,255.74001,2.96239,2
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,10,,259.109,5030.0,255.8,3.30903,2
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,11,,258.9728,5505.0,255.87,3.10278,2
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,12,,258.8459,5980.0,255.55,3.29594,2
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,13,,258.6695,6452.0,255.67999,2.98947,2
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,14,,258.6265,6925.0,255.55,3.07649,2
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,15,,258.57,7401.0,254.95,3.61999,2
27032024-BOD-15-10-Q=49.66mL/phút-1,N4-25.03.2024,0,16,,257.9229,7877.0,254.25999,3.66293,2
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,0,BOD10,258.9728,301.0,255.87,3.10278,0
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,1,,258.8459,776.0,255.55,3.29594,0
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,2,,258.6695,1248.0,255.67999,2.98947,0
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,3,,258.6265,1721.0,255.55,3.07649,0
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,4,,258.57,2197.0,254.95,3.61999,0
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,5,,257.9229,2673.0,254.25999,3.66293,0
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,6,,256.8814,3143.0,253.5,3.38143,0
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,7,,256.5239,3618.0,253.08,3.44388,0
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,8,BOD5,257.1023,4088.0,253.31,3.79229,1
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,9,,256.9808,4564.0,253.64999,3.3308,1
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,10,,256.7372,5038.0,253.08,3.65718,1
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,11,,256.2184,5512.0,253.03999,3.17843,1
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,12,,256.134,5983.0,253.25,2.88395,2
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,13,,255.7542,6455.0,252.81,2.94421,2
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,14,,255.5911,6929.0,252.75,2.84105,2
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,15,,255.575,7402.0,252.85001,2.72499,2
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,16,,255.5111,7877.0,252.78999,2.72106,2
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,17,,255.5668,8349.0,252.81,2.75684,2
27032024-BOD-10-5-Q=50.45mL/phút-1,N4-25.03.2024,1,18,,255.5547,8824.0,253.02,2.53474,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,0,BOD10,278.22639,301.0,273.98,4.24639,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,1,,278.22972,773.0,273.98,4.24972,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,2,,278.11757,1247.0,273.81,4.30757,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,3,,278.07405,1719.0,273.35,4.72405,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,4,,277.99111,2192.0,273.62,4.37111,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,5,,278.11944,2666.0,274.07,4.04944,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,6,,278.29055,3139.0,273.6,4.69055,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,7,,278.14139,3611.0,273.79,4.35139,0
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,8,BOD5,276.745,4086.0,272.04,4.705,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,9,,277.28722,4559.0,272.6,4.68722,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,10,,277.38621,5033.0,273.07,4.31621,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,11,,277.365,5505.0,273.41,3.955,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,12,,277.38694,5979.0,273.37,4.01694,1
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,13,,277.67639,6451.0,273.82,3.85639,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,14,,277.84139,6926.0,273.98,3.86139,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,15,,278.00306,7399.0,274.01,3.99306,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,16,,278.09306,7873.0,274.2,3.89306,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,17,,278.06972,8345.0,274.29,3.77972,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,18,,277.87162,8822.0,274.06,3.81162,2
29032024-BOD-10-5-Q=50.81mL/phút-2,N4-25.03.2024,2,19,,277.67352,9292.0,274.25,3.42352,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,0,BOD5,277.67639,301.0,273.82,3.85639,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,1,,277.84139,776.0,273.98,3.86139,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,2,,278.00306,1249.0,274.01,3.99306,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,3,,278.09306,1724.0,274.27,3.82306,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,4,,278.06972,2195.0,274.29,3.77972,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,5,,277.87162,2671.0,274.06,3.81162,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,6,,277.67352,3142.0,274.25,3.42352,0
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,7,BOD0,278.088,3617.0,274.29,3.798,1
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,8,,278.20483,4090.0,275.5,2.70483,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,9,,278.52793,4564.0,275.64,2.88793,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,10,,278.53138,5036.0,276.17,2.36138,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,11,,278.62035,5510.0,276.42,2.20035,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,12,,278.70267,5985.0,276.39,2.31267,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,13,,278.81066,6458.0,276.67,2.14066,2
29032024-BOD-5-0-Q=50.19mL/phút-1,N4-25.03.2024,3,14,,278.99448,6931.0,276.72,2.27448,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,0,BOD15,285.52577,299.0,279.62,5.90577,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,1,,285.44654,774.0,279.48,5.96654,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,2,,285.06137,1248.0,279.41,5.65137,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,3,,284.82581,1721.0,279.07,5.75581,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,4,,285.45226,2195.0,279.35,6.10226,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,5,,285.51769,2666.0,279.45,6.06769,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,6,,285.36846,3140.0,279.41,5.95846,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,7,,285.45231,3613.0,279.41,6.04231,0
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,8,BOD10,284.63611,4086.0,278.6,6.03611,1
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,9,,284.60962,4561.0,278.62,5.98962,1
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,10,,284.70696,5033.0,278.62,6.08696,1
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,11,,284.12572,5507.0,278.76,5.36572,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,12,,284.22231,5982.0,278.37,5.85231,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,13,,284.16576,6454.0,278.76,5.40576,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,14,,284.03333,6928.0,278.42,5.61333,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,15,,283.85039,7401.0,278.37,5.48039,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,16,,283.47692,7874.0,278.51,4.96692,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,17,,283.09261,8347.0,278.14,4.95261,2
01042024-BOD-15-10-Q=49.88mL/phút-2,N4-25.03.2024,4,18,,283.38704,8820.0,278.62,4.76704,2
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,0,BOD10,284.12572,301.0,278.76,5.36572,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,1,,284.22231,777.0,278.37,5.85231,0
01042024-BOD-10-5-Q=49.81mL/phút-3,N4-25.03.2024,5,2,,284.16576,1249.0,278.76,5.40576,0
