Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,0,GGA2.5,299.96531,311.0,198.1,101.86531,0
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,1,,295.03673,785.0,196.79999,98.23674,0
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,2,,293.74082,1257.0,195.4,98.34082,0
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,3,,292.506,1730.0,190.4,102.106,0
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,4,,292.59592,2203.0,195.3,97.29592,0
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,5,,292.12449,2676.0,189.5,102.62449,0
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,6,GGA2.5-HH-5,293.96939,3152.0,213.2,80.76939,1
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,7,,294.38776,3624.0,212.1,82.28776,1
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,8,,294.226,4097.0,214.9,79.326,2
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,9,,293.42041,4571.0,211.60001,81.8204,2
"U183-H5-VS2-GGA2.5-HH 5mg-L-06092024-Q=50,04mL-phút-1",U183-H5-VS2-03.09.2024,0,10,,293.02653,5044.0,214.8,78.22653,2
U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1,U184-H5-VS2-03.09.2024,0,0,GGA5,316.35278,313.0,195.2,121.15278,0
U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1,U184-H5-VS2-03.09.2024,0,1,,312.52703,785.0,191.8,120.72703,0
U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1,U184-H5-VS2-03.09.2024,0,2,,317.60541,1254.0,196.3,121.30541,0
U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1,U184-H5-VS2-03.09.2024,0,3,,318.61892,1728.0,193.7,124.91892,0
U184-H5-VS2-GGA5-HH 10mg-L-09092024-Q=49.68mL-phút-1,U184-H5-VS2-03.09.2024,0,4,,313.03243,2203.0,194.00001,119.03242,0
