Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,0,BOD10,288.5761,301.0,283.82,4.75609,0
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,1,,288.665,769.0,283.73,4.935,0
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,2,,288.5954,1245.0,283.6,4.99541,0
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,3,,288.5774,1721.0,283.54,5.03739,0
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,4,,288.5435,2196.0,283.85,4.69348,0
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,5,,288.5604,2662.0,283.92,4.64044,0
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,6,Zn(II)-5mg/L,288.0804,3139.0,283.53,4.55041,1
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,7,,288.7675,3611.0,284.45,4.3175,1
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,8,,288.6283,4085.0,284.42,4.20833,1
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,9,,288.5563,4557.0,284.35,4.20625,1
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,10,,288.3813,5037.0,284.47,3.9113,1
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,11,,288.0722,5509.0,283.89,4.18217,1
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,12,,287.9239,5982.0,284.17,3.75391,2
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,13,,287.9087,6453.0,283.87,4.03874,2
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,14,,287.5467,6928.0,283.67,3.87666,2
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,15,,287.5863,7400.0,283.67,3.91625,2
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,16,,287.3521,7872.0,283.47,3.88208,2
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,17,,287.3317,8346.0,283.51,3.82166,2
U1-GGA10-Zn(II) 5mg/L-17042024-Q=49.31mL/phút-2,U1-26.03.2024,0,18,,287.1861,8822.0,283.37,3.81609,2
U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1,U2-03.04.2024,0,0,BOD10,288.21458,301.0,283.07,5.14458,0
U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1,U2-03.04.2024,0,1,,288.34666,775.0,283.23,5.11666,0
U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1,U2-03.04.2024,0,2,,288.21959,1248.0,282.82,5.39959,0
U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1,U2-03.04.2024,0,3,,288.3274,1720.0,283.41,4.9174,0
U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1,U2-03.04.2024,0,4,,288.32041,2194.0,283.45,4.87041,0
U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1,U2-03.04.2024,0,5,,288.16565,2669.0,282.6,5.56565,0
U2-BOD10-Zn(II) 10mg/L-10042024-Q=49.32mL/phút-1,U2-03.04.2024,0,6,,288.09333,3141.0,282.85,5.24333,0
