No.peak,Tag,Doin (mV),DOmin (mV),DDO (mV),Sample Name
303,BOD5,277.74053,273.89628,3.84425,29032024-BOD-5-0-Q=50.19mL/phút-1
777,BOD5,277.9863,274.00615,3.98015,29032024-BOD-5-0-Q=50.19mL/phút-1
1250,BOD5,278.06803,274.1276,3.94044,29032024-BOD-5-0-Q=50.19mL/phút-1
1725,BOD5,278.15765,274.16236,3.99529,29032024-BOD-5-0-Q=50.19mL/phút-1
2197,BOD5,278.22758,274.37156,3.85603,29032024-BOD-5-0-Q=50.19mL/phút-1
2671,BOD5,277.99149,274.00927,3.98222,29032024-BOD-5-0-Q=50.19mL/phút-1
3144,BOD5,277.769,274.26516,3.50384,29032024-BOD-5-0-Q=50.19mL/phút-1
3618,BOD0,278.2045,274.36951,3.83499,29032024-BOD-5-0-Q=50.19mL/phút-1
4091,BOD0,278.30928,275.52593,2.78335,29032024-BOD-5-0-Q=50.19mL/phút-1
4565,BOD0,278.60673,275.64189,2.96484,29032024-BOD-5-0-Q=50.19mL/phút-1
5038,BOD0,278.63778,276.22204,2.41575,29032024-BOD-5-0-Q=50.19mL/phút-1
5512,BOD0,278.69823,276.46686,2.23138,29032024-BOD-5-0-Q=50.19mL/phút-1
5985,BOD0,278.82035,276.45703,2.36333,29032024-BOD-5-0-Q=50.19mL/phút-1
6459,BOD0,278.91866,276.71365,2.20501,29032024-BOD-5-0-Q=50.19mL/phút-1
6932,BOD0,279.07757,276.71923,2.35835,29032024-BOD-5-0-Q=50.19mL/phút-1
