No.peak,Tag,Doin (mV),DOmin (mV),DDO (mV),Sample Name
303,BOD5,277.12391,273.89628,3.22763,29032024-BOD-5-0-Q=50.19mL/phút-1
777,BOD5,277.2551,274.00615,3.24895,29032024-BOD-5-0-Q=50.19mL/phút-1
1250,BOD5,277.34002,274.1276,3.21242,29032024-BOD-5-0-Q=50.19mL/phút-1
1725,BOD5,277.4896,274.16236,3.32724,29032024-BOD-5-0-Q=50.19mL/phút-1
2197,BOD5,277.43909,274.37156,3.06753,29032024-BOD-5-0-Q=50.19mL/phút-1
2671,BOD5,277.29287,274.00927,3.2836,29032024-BOD-5-0-Q=50.19mL/phút-1
3144,BOD5,277.12117,274.26516,2.85602,29032024-BOD-5-0-Q=50.19mL/phút-1
3618,BOD0,277.84713,274.36951,3.47762,29032024-BOD-5-0-Q=50.19mL/phút-1
4091,BOD0,277.88464,275.52593,2.3587,29032024-BOD-5-0-Q=50.19mL/phút-1
4565,BOD0,278.07686,275.64189,2.43497,29032024-BOD-5-0-Q=50.19mL/phút-1
5038,BOD0,278.07796,276.22204,1.85593,29032024-BOD-5-0-Q=50.19mL/phút-1
5512,BOD0,278.40844,276.46686,1.94158,29032024-BOD-5-0-Q=50.19mL/phút-1
5985,BOD0,278.54462,276.45703,2.08759,29032024-BOD-5-0-Q=50.19mL/phút-1
6459,BOD0,278.51906,276.71365,1.80541,29032024-BOD-5-0-Q=50.19mL/phút-1
6932,BOD0,278.72024,276.71923,2.00101,29032024-BOD-5-0-Q=50.19mL/phút-1
